collage_id;brandName;brandId;description;charming_no;cheerful_no;confident_no;contemporary_no;cool_no;corporate_no;daring_no;different_no;distinctive_no;downToEarth_no;dynamic_no;exciting_no;familyOriented_no;feminine_no;friendly_no;glamorous_no;goodLooking_no;hardWorking_no;highQuality_no;honest_no;imaginative_no;independent_no;innovative_no;intelligent_no;leader_no;masculine_no;original_no;outdoorsy_no;real_no;reliable_no;rugged_no;secure_no;sentimental_no;sincere_no;smallTown_no;smooth_no;spirited_no;successful_no;technical_no;tough_no;trendy_no;unique_no;upToDate_no;upperClass_no;western_no;wholesome_no;young_no
14;7UP;4;some refreshment pictures here to make feel happy same as 7up;3;2;4;4;4;3;2;1;2;2;4;2;4;2;3;4;2;3;1;3;3;4;2;2;1;4;2;3;3;2;3;2;2;4;3;4;3;2;2;3;3;4;3;1;2;3;4
47;7UP;4;It's relaxing, refreshing and cool.;4;5;4;4;5;3;4;4;3;5;3;4;3;4;5;4;5;3;4;5;5;2;4;4;3;2;4;3;4;4;3;4;5;4;3;5;4;3;4;2;3;4;3;4;4;4;5
87;7UP;4;It represents summer, fun, the pleasure of drinking a cool bubbly beverage.;4;5;4;3;4;1;3;2;3;3;3;5;5;2;5;2;4;1;3;3;3;3;3;2;3;2;2;3;3;2;2;3;3;3;3;3;4;3;2;2;4;3;3;1;5;1;4
186;7UP;4;7UP reminds me of summer in the suburbs. It's light and refreshing and always was great for me to drink on super hot days.;1;5;4;4;5;3;3;4;3;3;4;3;5;1;5;2;4;1;2;1;3;3;3;2;2;1;3;3;3;1;1;2;1;3;5;3;4;3;1;1;4;3;3;1;1;3;5
259;7UP;4;7UPis crisp, refreshing, and light. I've used images and layering that invoke relaxed summer days and carefree energy.;2;4;1;2;3;3;1;2;3;3;2;2;4;1;3;1;3;2;3;3;3;2;2;2;1;1;2;1;3;3;1;1;3;4;1;3;3;3;1;1;2;2;3;1;1;3;3
262;7UP;4;It's green and fresh and crisp, like morning dew.  It's also very active, edgy and sharp.;5;3;5;4;5;2;5;5;5;4;5;5;4;2;3;2;4;3;4;5;4;5;4;2;3;3;4;4;5;3;4;2;1;4;1;3;5;3;4;4;5;5;4;2;1;3;5
265;7UP;4;Cool and Bubbly, used to mix drinks at parties, sometimes fancy or just every day. ;3;5;4;2;5;3;1;1;3;5;3;2;5;2;5;2;1;1;5;4;1;3;3;4;3;3;4;2;5;5;1;4;5;4;3;3;3;5;1;4;1;3;2;2;5;4;1
274;7UP;4;The outdoors scenes remind me of the refreshing and crisp feeling I get when I drink 7up. The sunshine and overall brightness of my collage also remind me of the distinct flavor. The variety of colors relate to the variety of flavors I taste.;3;5;4;3;4;5;4;3;3;3;4;4;3;2;5;3;5;2;4;4;4;1;3;4;3;2;3;2;5;5;2;5;4;4;2;5;4;5;1;2;5;3;4;3;1;2;3
499;7UP;4;Fresh and quirky. ;3;4;3;3;4;2;1;2;4;3;3;4;5;2;5;2;3;4;3;3;4;4;3;3;2;1;4;3;5;3;1;3;4;4;4;4;2;4;2;2;2;3;3;1;5;4;1
536;7UP;4;7 up reminds me of a bright warn summer day. A fresh breezy day at the ocean or on the beach. It's a relaxing type of drink.;4;4;4;4;4;4;3;3;4;4;2;4;4;3;4;1;4;4;4;4;4;4;3;4;3;2;4;4;4;4;1;4;4;4;4;4;4;4;1;1;2;3;4;2;2;4;4
550;7UP;4;Anytime people are working, playing or relaxing is a good time for 7UP.;4;5;5;3;5;4;4;3;5;4;5;5;5;1;5;1;4;4;5;4;3;4;4;4;4;1;4;3;4;5;3;4;5;4;2;5;5;4;1;3;4;4;4;4;4;5;4
556;7UP;4;It is cool, bright and refreshing.;2;4;2;2;3;2;1;2;2;3;3;1;3;1;3;2;2;2;2;3;2;2;2;1;1;1;2;3;3;4;1;2;2;3;3;4;2;3;1;1;1;2;2;1;1;2;2
737;7UP;4;silent water, freshness, dolphin friendly, calm natural;4;4;5;4;4;4;5;4;4;1;4;5;4;3;5;4;5;4;4;4;4;4;4;4;2;4;4;4;4;4;2;4;4;4;1;4;4;4;4;4;5;5;4;1;4;4;5
783;A and W Root Beer;5;food and fun;4;4;4;5;4;1;2;2;4;5;5;5;4;1;5;2;5;4;4;4;4;2;5;4;4;4;4;2;5;5;2;4;5;4;4;4;1;4;2;1;4;4;5;2;2;5;4
866;A and W Root Beer;5;classic, real, affordable, old fashioned;4;4;5;5;5;1;3;4;5;4;3;3;3;1;5;1;5;5;5;5;4;5;1;5;4;5;4;3;5;5;5;4;5;5;5;5;3;5;4;5;2;4;1;1;4;5;2
938;A and W Root Beer;5;family and fun;4;5;5;4;4;2;4;2;4;5;2;5;4;3;4;2;5;5;4;4;4;5;4;3;4;4;4;1;4;4;2;4;2;5;4;5;3;4;2;1;3;5;3;2;2;4;4
965;A and W Root Beer;5;Old fashioned. The original. Backward looking. Reliable. Authentic, antique.;5;4;4;1;1;3;1;2;4;5;1;2;5;2;4;1;2;3;5;5;2;3;2;4;3;3;4;3;5;4;3;4;4;5;5;3;3;3;1;2;1;4;1;1;3;4;1
991;A and W Root Beer;5;It is happy, fun, family oriented, and popular.;2;4;2;2;2;1;1;2;4;4;1;1;5;1;3;1;2;1;2;2;1;2;1;1;3;1;4;1;3;3;1;3;1;2;1;2;2;4;1;1;1;4;2;1;3;4;1
1080;A and W Root Beer;5;A frosty A&W is a refreshing beverage just as being on or near a body of water is refreshing. ;1;4;4;2;3;5;1;2;4;2;1;3;4;1;3;1;1;1;4;3;1;2;1;3;3;2;2;4;5;5;2;4;1;3;1;2;3;5;1;1;1;2;1;1;3;2;1
1089;A and W Root Beer;5;I think of A and W Root Beer as a rustic, rural type of brand.;4;4;4;3;3;3;3;3;5;5;3;3;4;2;4;3;3;5;4;4;5;4;4;3;4;4;5;5;5;5;5;4;4;5;5;3;4;4;3;4;3;4;3;2;5;4;2
